"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19608","Test-4","Microsoft Edge","2026-01-20","failed","2026-01-20","RegressionTesting","Chapter_4\04_TestReport_test.spec.ts","",""
"","10820","test-2","Microsoft Edge","2026-01-20","passed","2026-01-20","RegressionTesting","Chapter_4\04_TestReport_test.spec.ts","",""
"","13443","Test-1","Microsoft Edge","2026-01-20","passed","2026-01-20","SmokeTesting","Chapter_4\04_TestReport_test.spec.ts","",""
"","13569","Test -3","Microsoft Edge","2026-01-20","passed","2026-01-20","RegressionTesting","Chapter_4\04_TestReport_test.spec.ts","",""
